question_id,bottom_models,top_models,top_minus_bottom,discriminative_group
123,0.0,1.0,1.0,top_models_better
124,1.0,0.5,-0.5,bottom_models_better
125,1.0,1.0,0.0,no_difference
126,0.5,0.5,0.0,no_difference
127,1.0,1.0,0.0,no_difference
128,1.0,1.0,0.0,no_difference
129,1.0,1.0,0.0,no_difference
130,0.0,0.0,0.0,no_difference
131,1.0,1.0,0.0,no_difference
132,0.0,0.0,0.0,no_difference
133,0.0,0.5,0.5,top_models_better
134,0.5,1.0,0.5,top_models_better
135,0.5,0.5,0.0,no_difference
136,0.5,1.0,0.5,top_models_better
137,0.5,1.0,0.5,top_models_better
138,0.5,1.0,0.5,top_models_better
139,1.0,1.0,0.0,no_difference
140,1.0,1.0,0.0,no_difference
141,1.0,1.0,0.0,no_difference
142,0.5,1.0,0.5,top_models_better
143,0.5,1.0,0.5,top_models_better
144,0.5,1.0,0.5,top_models_better
145,0.0,0.0,0.0,no_difference
146,1.0,1.0,0.0,no_difference
147,1.0,1.0,0.0,no_difference
148,0.0,1.0,1.0,top_models_better
149,1.0,0.0,-1.0,bottom_models_better
150,1.0,1.0,0.0,no_difference
151,0.0,1.0,1.0,top_models_better
152,0.0,1.0,1.0,top_models_better
153,0.0,1.0,1.0,top_models_better
154,0.0,0.0,0.0,no_difference
155,1.0,1.0,0.0,no_difference
156,1.0,1.0,0.0,no_difference
157,0.0,0.5,0.5,top_models_better
158,0.0,0.0,0.0,no_difference
159,0.0,0.5,0.5,top_models_better
160,1.0,1.0,0.0,no_difference
161,1.0,1.0,0.0,no_difference
162,1.0,1.0,0.0,no_difference
163,0.0,0.5,0.5,top_models_better
164,0.0,1.0,1.0,top_models_better
165,0.0,0.0,0.0,no_difference
166,0.5,0.5,0.0,no_difference
167,0.5,1.0,0.5,top_models_better
168,0.0,0.0,0.0,no_difference
169,1.0,1.0,0.0,no_difference
170,1.0,1.0,0.0,no_difference
171,0.5,1.0,0.5,top_models_better
172,0.5,1.0,0.5,top_models_better
173,0.5,0.0,-0.5,bottom_models_better
174,0.0,0.0,0.0,no_difference
175,0.0,1.0,1.0,top_models_better
176,0.0,0.5,0.5,top_models_better
177,0.5,0.5,0.0,no_difference
178,0.0,0.0,0.0,no_difference
179,1.0,1.0,0.0,no_difference
180,0.5,0.5,0.0,no_difference
181,0.0,0.5,0.5,top_models_better
182,1.0,1.0,0.0,no_difference
183,1.0,1.0,0.0,no_difference
184,0.5,0.5,0.0,no_difference
185,1.0,1.0,0.0,no_difference
186,0.0,0.0,0.0,no_difference
187,0.5,0.0,-0.5,bottom_models_better
188,0.0,0.5,0.5,top_models_better
189,1.0,1.0,0.0,no_difference
190,0.0,0.0,0.0,no_difference
191,0.0,0.5,0.5,top_models_better
192,0.0,1.0,1.0,top_models_better
193,0.5,0.0,-0.5,bottom_models_better
194,0.0,0.5,0.5,top_models_better
195,1.0,1.0,0.0,no_difference
196,0.5,1.0,0.5,top_models_better
197,0.0,0.5,0.5,top_models_better
198,0.0,0.0,0.0,no_difference
199,1.0,1.0,0.0,no_difference
200,0.0,0.5,0.5,top_models_better
201,0.0,0.0,0.0,no_difference
202,0.0,0.5,0.5,top_models_better
203,0.0,0.0,0.0,no_difference
204,0.0,0.0,0.0,no_difference
205,0.5,0.0,-0.5,bottom_models_better
206,0.5,1.0,0.5,top_models_better
207,0.0,0.0,0.0,no_difference
208,0.5,0.5,0.0,no_difference
209,0.0,0.0,0.0,no_difference
210,0.5,0.5,0.0,no_difference
211,0.0,1.0,1.0,top_models_better
212,0.5,0.5,0.0,no_difference
213,0.0,0.0,0.0,no_difference
214,1.0,1.0,0.0,no_difference
215,0.0,0.5,0.5,top_models_better
216,0.5,1.0,0.5,top_models_better
217,1.0,1.0,0.0,no_difference
218,0.5,1.0,0.5,top_models_better
219,0.0,0.0,0.0,no_difference
220,1.0,1.0,0.0,no_difference
221,1.0,0.5,-0.5,bottom_models_better
222,0.0,0.0,0.0,no_difference
223,0.5,1.0,0.5,top_models_better
224,1.0,0.5,-0.5,bottom_models_better
225,1.0,1.0,0.0,no_difference
226,1.0,0.5,-0.5,bottom_models_better
227,0.0,1.0,1.0,top_models_better
228,0.5,1.0,0.5,top_models_better
229,0.0,0.0,0.0,no_difference
230,0.0,0.0,0.0,no_difference
231,0.0,0.0,0.0,no_difference
232,0.5,0.0,-0.5,bottom_models_better
233,1.0,1.0,0.0,no_difference
234,0.5,1.0,0.5,top_models_better
235,0.5,0.5,0.0,no_difference
236,1.0,1.0,0.0,no_difference
237,0.0,0.0,0.0,no_difference
238,0.0,1.0,1.0,top_models_better
239,1.0,1.0,0.0,no_difference
240,0.5,1.0,0.5,top_models_better
241,0.5,1.0,0.5,top_models_better
242,0.0,0.5,0.5,top_models_better
243,0.5,1.0,0.5,top_models_better
244,0.5,1.0,0.5,top_models_better
245,0.5,1.0,0.5,top_models_better
246,0.5,0.0,-0.5,bottom_models_better
247,1.0,1.0,0.0,no_difference
248,0.5,1.0,0.5,top_models_better
249,1.0,1.0,0.0,no_difference
250,0.5,1.0,0.5,top_models_better
251,0.0,0.0,0.0,no_difference
252,1.0,1.0,0.0,no_difference
253,0.5,0.5,0.0,no_difference
254,0.0,0.5,0.5,top_models_better
255,1.0,1.0,0.0,no_difference
256,0.5,1.0,0.5,top_models_better
257,0.5,1.0,0.5,top_models_better
258,0.0,0.0,0.0,no_difference
259,0.5,0.5,0.0,no_difference
260,1.0,1.0,0.0,no_difference
261,1.0,1.0,0.0,no_difference
262,0.0,0.5,0.5,top_models_better
263,0.5,0.5,0.0,no_difference
264,0.5,1.0,0.5,top_models_better
265,1.0,0.5,-0.5,bottom_models_better
266,0.0,0.5,0.5,top_models_better
267,0.5,1.0,0.5,top_models_better
268,1.0,1.0,0.0,no_difference
269,0.0,0.0,0.0,no_difference
270,1.0,1.0,0.0,no_difference
271,1.0,1.0,0.0,no_difference
272,1.0,1.0,0.0,no_difference
273,0.5,1.0,0.5,top_models_better
274,1.0,1.0,0.0,no_difference
275,0.5,1.0,0.5,top_models_better
276,0.5,0.5,0.0,no_difference
277,0.5,0.0,-0.5,bottom_models_better
278,0.5,0.0,-0.5,bottom_models_better
279,0.5,0.5,0.0,no_difference
280,1.0,1.0,0.0,no_difference
281,0.5,0.5,0.0,no_difference
282,1.0,1.0,0.0,no_difference
283,0.0,0.5,0.5,top_models_better
284,0.5,0.0,-0.5,bottom_models_better
285,0.0,1.0,1.0,top_models_better
286,1.0,1.0,0.0,no_difference
287,0.0,0.0,0.0,no_difference
288,1.0,0.5,-0.5,bottom_models_better
289,0.5,0.0,-0.5,bottom_models_better
290,0.5,0.0,-0.5,bottom_models_better
291,0.0,0.5,0.5,top_models_better
292,0.0,0.0,0.0,no_difference
293,0.0,0.0,0.0,no_difference
294,1.0,1.0,0.0,no_difference
295,1.0,0.5,-0.5,bottom_models_better
296,0.0,0.0,0.0,no_difference
297,0.0,0.0,0.0,no_difference
298,0.5,0.0,-0.5,bottom_models_better
299,1.0,1.0,0.0,no_difference
300,0.0,1.0,1.0,top_models_better
301,1.0,0.5,-0.5,bottom_models_better
302,0.0,1.0,1.0,top_models_better
303,0.5,0.0,-0.5,bottom_models_better
304,1.0,1.0,0.0,no_difference
305,0.5,0.0,-0.5,bottom_models_better
306,0.0,0.0,0.0,no_difference
307,0.0,1.0,1.0,top_models_better
308,0.5,1.0,0.5,top_models_better
309,0.5,0.5,0.0,no_difference
310,0.0,1.0,1.0,top_models_better
311,0.5,0.0,-0.5,bottom_models_better
312,0.5,1.0,0.5,top_models_better
313,1.0,1.0,0.0,no_difference
314,0.5,0.5,0.0,no_difference
315,0.5,0.5,0.0,no_difference
316,0.5,1.0,0.5,top_models_better
317,0.0,0.5,0.5,top_models_better
318,1.0,1.0,0.0,no_difference
319,1.0,0.0,-1.0,bottom_models_better
320,0.5,0.0,-0.5,bottom_models_better
321,1.0,1.0,0.0,no_difference
322,0.5,1.0,0.5,top_models_better
323,0.5,0.0,-0.5,bottom_models_better
324,0.5,1.0,0.5,top_models_better
325,1.0,1.0,0.0,no_difference
326,1.0,0.5,-0.5,bottom_models_better
327,0.0,0.5,0.5,top_models_better
328,0.0,1.0,1.0,top_models_better
329,1.0,1.0,0.0,no_difference
330,0.0,1.0,1.0,top_models_better
331,0.5,0.5,0.0,no_difference
332,1.0,1.0,0.0,no_difference
333,1.0,0.5,-0.5,bottom_models_better
334,0.0,0.5,0.5,top_models_better
335,0.0,0.0,0.0,no_difference
336,1.0,1.0,0.0,no_difference
337,1.0,1.0,0.0,no_difference
338,0.0,1.0,1.0,top_models_better
339,0.5,0.0,-0.5,bottom_models_better
340,1.0,1.0,0.0,no_difference
341,0.5,0.5,0.0,no_difference
342,1.0,1.0,0.0,no_difference
343,1.0,1.0,0.0,no_difference
344,0.5,1.0,0.5,top_models_better
345,0.5,0.5,0.0,no_difference
346,1.0,0.5,-0.5,bottom_models_better
347,0.5,1.0,0.5,top_models_better
348,0.0,0.5,0.5,top_models_better
349,1.0,1.0,0.0,no_difference
350,1.0,1.0,0.0,no_difference
351,0.0,0.0,0.0,no_difference
352,0.5,0.5,0.0,no_difference
353,0.0,0.0,0.0,no_difference
354,0.5,1.0,0.5,top_models_better
355,0.0,0.5,0.5,top_models_better
356,0.5,0.5,0.0,no_difference
357,0.0,0.5,0.5,top_models_better
358,0.5,1.0,0.5,top_models_better
359,1.0,1.0,0.0,no_difference
360,0.0,1.0,1.0,top_models_better
361,1.0,1.0,0.0,no_difference
362,1.0,1.0,0.0,no_difference
363,0.0,0.0,0.0,no_difference
364,1.0,1.0,0.0,no_difference
365,1.0,0.5,-0.5,bottom_models_better
366,0.0,1.0,1.0,top_models_better
367,0.5,1.0,0.5,top_models_better
368,0.5,1.0,0.5,top_models_better
369,0.0,0.0,0.0,no_difference
370,0.0,0.5,0.5,top_models_better
371,0.5,1.0,0.5,top_models_better
372,0.5,0.0,-0.5,bottom_models_better
373,0.0,0.0,0.0,no_difference
374,0.0,0.5,0.5,top_models_better
375,1.0,1.0,0.0,no_difference
376,1.0,0.5,-0.5,bottom_models_better
377,0.5,1.0,0.5,top_models_better
378,1.0,0.5,-0.5,bottom_models_better
379,0.5,1.0,0.5,top_models_better
380,0.5,1.0,0.5,top_models_better
381,1.0,1.0,0.0,no_difference
382,1.0,1.0,0.0,no_difference
383,1.0,1.0,0.0,no_difference
384,1.0,1.0,0.0,no_difference
385,0.0,0.0,0.0,no_difference
386,0.5,0.0,-0.5,bottom_models_better
387,1.0,0.5,-0.5,bottom_models_better
388,0.0,1.0,1.0,top_models_better
389,0.5,1.0,0.5,top_models_better
390,0.5,1.0,0.5,top_models_better
391,1.0,1.0,0.0,no_difference
392,0.5,1.0,0.5,top_models_better
393,0.5,1.0,0.5,top_models_better
394,1.0,1.0,0.0,no_difference
395,0.5,0.5,0.0,no_difference
396,0.0,0.0,0.0,no_difference
397,0.0,0.5,0.5,top_models_better
398,0.0,1.0,1.0,top_models_better
399,1.0,0.5,-0.5,bottom_models_better
400,0.5,0.5,0.0,no_difference
401,1.0,1.0,0.0,no_difference
402,0.5,0.0,-0.5,bottom_models_better
403,1.0,1.0,0.0,no_difference
404,0.5,1.0,0.5,top_models_better
405,0.0,1.0,1.0,top_models_better
406,0.0,0.5,0.5,top_models_better
407,0.5,1.0,0.5,top_models_better
408,1.0,1.0,0.0,no_difference
409,1.0,1.0,0.0,no_difference
410,0.5,1.0,0.5,top_models_better
411,1.0,1.0,0.0,no_difference
412,0.5,0.0,-0.5,bottom_models_better
413,1.0,1.0,0.0,no_difference
414,1.0,1.0,0.0,no_difference
415,0.0,1.0,1.0,top_models_better
416,0.0,0.5,0.5,top_models_better
417,1.0,0.5,-0.5,bottom_models_better
418,0.0,0.5,0.5,top_models_better
419,1.0,1.0,0.0,no_difference
420,0.5,1.0,0.5,top_models_better
421,1.0,1.0,0.0,no_difference
422,0.0,0.0,0.0,no_difference
423,0.5,1.0,0.5,top_models_better
424,0.0,0.0,0.0,no_difference
425,0.0,0.0,0.0,no_difference
426,1.0,1.0,0.0,no_difference
427,1.0,1.0,0.0,no_difference
428,0.5,0.0,-0.5,bottom_models_better
429,0.0,0.0,0.0,no_difference
430,1.0,1.0,0.0,no_difference
431,0.5,0.5,0.0,no_difference
432,0.5,1.0,0.5,top_models_better
433,1.0,0.5,-0.5,bottom_models_better
434,0.0,1.0,1.0,top_models_better
435,0.5,1.0,0.5,top_models_better
436,1.0,0.5,-0.5,bottom_models_better
437,0.0,0.5,0.5,top_models_better
438,0.5,0.5,0.0,no_difference
439,0.0,0.0,0.0,no_difference
440,0.0,0.5,0.5,top_models_better
441,0.5,0.5,0.0,no_difference
442,0.5,0.0,-0.5,bottom_models_better
443,1.0,1.0,0.0,no_difference
444,1.0,1.0,0.0,no_difference
445,1.0,1.0,0.0,no_difference
446,0.0,0.0,0.0,no_difference
447,0.5,0.5,0.0,no_difference
448,1.0,0.5,-0.5,bottom_models_better
449,0.5,0.5,0.0,no_difference
450,1.0,0.5,-0.5,bottom_models_better
451,0.5,0.0,-0.5,bottom_models_better
452,0.5,1.0,0.5,top_models_better
453,0.0,0.5,0.5,top_models_better
454,0.5,0.5,0.0,no_difference
455,1.0,1.0,0.0,no_difference
456,1.0,0.5,-0.5,bottom_models_better
457,0.0,0.5,0.5,top_models_better
458,0.0,0.0,0.0,no_difference
459,0.5,0.0,-0.5,bottom_models_better
460,1.0,1.0,0.0,no_difference
461,1.0,0.5,-0.5,bottom_models_better
462,0.5,1.0,0.5,top_models_better
463,0.5,0.5,0.0,no_difference
464,1.0,1.0,0.0,no_difference
465,1.0,1.0,0.0,no_difference
466,0.0,0.0,0.0,no_difference
467,0.0,0.0,0.0,no_difference
468,1.0,1.0,0.0,no_difference
469,0.5,0.0,-0.5,bottom_models_better
470,1.0,1.0,0.0,no_difference
471,0.0,0.0,0.0,no_difference
472,0.5,1.0,0.5,top_models_better
473,0.5,0.0,-0.5,bottom_models_better
474,0.5,1.0,0.5,top_models_better
475,1.0,0.0,-1.0,bottom_models_better
476,1.0,0.5,-0.5,bottom_models_better
477,1.0,1.0,0.0,no_difference
478,1.0,1.0,0.0,no_difference
479,0.0,0.5,0.5,top_models_better
480,1.0,1.0,0.0,no_difference
481,1.0,0.5,-0.5,bottom_models_better
482,1.0,1.0,0.0,no_difference
483,0.0,0.0,0.0,no_difference
484,0.0,0.0,0.0,no_difference
485,0.5,1.0,0.5,top_models_better
486,1.0,1.0,0.0,no_difference
487,0.0,0.0,0.0,no_difference
488,0.5,0.5,0.0,no_difference
489,1.0,1.0,0.0,no_difference
490,0.0,0.0,0.0,no_difference
491,1.0,1.0,0.0,no_difference
492,0.0,1.0,1.0,top_models_better
493,0.5,0.5,0.0,no_difference
494,1.0,1.0,0.0,no_difference
495,0.0,0.0,0.0,no_difference
496,1.0,1.0,0.0,no_difference
497,1.0,1.0,0.0,no_difference
498,1.0,0.0,-1.0,bottom_models_better
499,0.0,0.0,0.0,no_difference
