question_id,model_count,correct_count,incorrect_count,accuracy_per_item,difficulty,item_group,correct_models,wrong_models
25,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
26,6,2,4,0.3333,0.6667,mixed,llama3.2:3b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b
27,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
28,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
29,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
30,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
31,6,3,3,0.5,0.5,mixed,llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini
32,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
33,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
34,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
35,6,2,4,0.3333,0.6667,mixed,mistral:7b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
36,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
37,6,2,4,0.3333,0.6667,mixed,llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b
38,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
39,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
40,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
41,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
42,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
43,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
44,6,4,2,0.6667,0.3333,mixed,mistral:7b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini
45,6,2,4,0.3333,0.6667,mixed,llama3.2:3b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b
46,6,2,4,0.3333,0.6667,mixed,gemma3:4b;llama3.1:8b,mistral:7b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
47,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
48,6,4,2,0.6667,0.3333,mixed,gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b
49,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
50,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
51,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;llama3.2:3b,gemma3:4b;llama3.1:8b;qwen2.5:7b-instruct
52,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
53,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
54,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
55,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
56,6,4,2,0.6667,0.3333,mixed,gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b
57,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
58,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b,llama3.2:3b;qwen2.5:7b-instruct
59,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
60,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b;llama3.1:8b
61,6,3,3,0.5,0.5,mixed,mistral:7b;gemma3:4b;llama3.1:8b,phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
62,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
63,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
64,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
65,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
66,6,1,5,0.1667,0.8333,mixed,llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
67,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
68,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
69,6,2,4,0.3333,0.6667,mixed,phi3:mini;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b
70,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
71,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
72,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
73,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
74,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;llama3.2:3b;qwen2.5:7b-instruct,phi3:mini;llama3.1:8b
75,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
76,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
77,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
78,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
79,6,1,5,0.1667,0.8333,mixed,phi3:mini,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
80,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
81,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b,qwen2.5:7b-instruct
82,6,3,3,0.5,0.5,mixed,gemma3:4b;llama3.2:3b;llama3.1:8b,mistral:7b;phi3:mini;qwen2.5:7b-instruct
83,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
84,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
85,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;llama3.1:8b;qwen2.5:7b-instruct,phi3:mini;llama3.2:3b
86,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
87,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
88,6,4,2,0.6667,0.3333,mixed,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b,mistral:7b;qwen2.5:7b-instruct
89,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
90,6,1,5,0.1667,0.8333,mixed,llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
91,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
92,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
93,6,4,2,0.6667,0.3333,mixed,gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;phi3:mini
94,6,2,4,0.3333,0.6667,mixed,mistral:7b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
95,6,3,3,0.5,0.5,mixed,gemma3:4b;llama3.2:3b;qwen2.5:7b-instruct,mistral:7b;phi3:mini;llama3.1:8b
96,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b,qwen2.5:7b-instruct
97,6,4,2,0.6667,0.3333,mixed,gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b
98,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
99,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;llama3.1:8b;qwen2.5:7b-instruct,phi3:mini;llama3.2:3b
100,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
101,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
102,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
103,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
104,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b;llama3.1:8b
105,6,1,5,0.1667,0.8333,mixed,phi3:mini,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
106,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
107,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
108,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
109,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
110,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
111,6,5,1,0.8333,0.1667,mixed,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b
112,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b;llama3.1:8b
113,6,2,4,0.3333,0.6667,mixed,mistral:7b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
114,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
115,6,4,2,0.6667,0.3333,mixed,mistral:7b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct,gemma3:4b;llama3.1:8b
116,6,1,5,0.1667,0.8333,mixed,phi3:mini,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
117,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
118,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
119,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
120,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
121,6,4,2,0.6667,0.3333,mixed,gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;phi3:mini
122,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
123,6,2,4,0.3333,0.6667,mixed,phi3:mini;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b
124,6,3,3,0.5,0.5,mixed,gemma3:4b;llama3.2:3b;qwen2.5:7b-instruct,mistral:7b;phi3:mini;llama3.1:8b
125,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
126,6,4,2,0.6667,0.3333,mixed,mistral:7b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini
127,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
128,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
129,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
130,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
131,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
132,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
133,6,1,5,0.1667,0.8333,mixed,phi3:mini,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
134,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
135,6,2,4,0.3333,0.6667,mixed,gemma3:4b;phi3:mini,mistral:7b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
136,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
137,6,5,1,0.8333,0.1667,mixed,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b
138,6,5,1,0.8333,0.1667,mixed,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b
139,6,5,1,0.8333,0.1667,mixed,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b
140,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
141,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
142,5,4,1,0.8,0.2,mixed,mistral:7b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b
143,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
144,6,3,3,0.5,0.5,mixed,gemma3:4b;phi3:mini;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b;llama3.1:8b
145,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
146,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
147,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
148,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b;llama3.1:8b
149,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b,phi3:mini;qwen2.5:7b-instruct
150,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
151,6,2,4,0.3333,0.6667,mixed,phi3:mini;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b
152,6,2,4,0.3333,0.6667,mixed,phi3:mini;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b
153,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b;llama3.1:8b
154,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
155,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
156,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
157,6,3,3,0.5,0.5,mixed,mistral:7b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b
158,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
159,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;llama3.1:8b,gemma3:4b;llama3.2:3b;qwen2.5:7b-instruct
160,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
161,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
162,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
163,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
164,6,2,4,0.3333,0.6667,mixed,phi3:mini;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b
165,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
166,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;llama3.1:8b;qwen2.5:7b-instruct,phi3:mini;llama3.2:3b
167,6,4,2,0.6667,0.3333,mixed,mistral:7b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct,gemma3:4b;llama3.1:8b
168,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
169,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
170,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
171,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
172,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
173,6,3,3,0.5,0.5,mixed,mistral:7b;llama3.2:3b;llama3.1:8b,gemma3:4b;phi3:mini;qwen2.5:7b-instruct
174,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
175,6,4,2,0.6667,0.3333,mixed,mistral:7b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b
176,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
177,6,3,3,0.5,0.5,mixed,llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini
178,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
179,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
180,6,2,4,0.3333,0.6667,mixed,gemma3:4b;qwen2.5:7b-instruct,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b
181,6,1,5,0.1667,0.8333,mixed,phi3:mini,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
182,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
