question_id,llama3.1:8b,qwen2.5:7b-instruct,is_same
352,0,1,False
353,0,0,True
354,0,1,False
355,0,1,False
356,1,1,True
357,0,1,False
358,1,1,True
359,1,1,True
360,1,1,True
361,1,1,True
362,1,1,True
363,0,0,True
364,0,1,False
365,0,1,False
366,1,1,True
367,1,1,True
368,0,1,False
369,0,0,True
370,0,1,False
371,1,1,True
372,0,0,True
373,0,1,False
374,0,1,False
375,1,1,True
376,0,1,False
377,1,1,True
378,0,1,False
379,0,1,False
380,0,1,False
381,0,1,False
382,1,1,True
383,1,1,True
384,1,1,True
385,0,1,False
386,0,1,False
387,0,0,True
388,0,1,False
389,1,1,True
390,1,1,True
391,1,1,True
392,0,1,False
393,1,1,True
394,1,1,True
395,0,0,True
396,1,0,False
397,0,1,False
398,0,1,False
399,0,1,False
400,1,1,True
401,1,1,True
402,0,0,True
403,1,1,True
404,0,1,False
405,0,1,False
406,0,1,False
407,1,1,True
408,1,1,True
409,1,1,True
410,1,1,True
411,1,1,True
412,0,0,True
413,0,1,False
414,1,1,True
415,0,1,False
416,0,0,True
417,1,0,False
418,0,1,False
419,1,1,True
420,1,1,True
421,1,1,True
422,0,0,True
423,0,1,False
424,1,0,False
425,0,0,True
426,1,1,True
427,1,1,True
428,0,0,True
429,0,0,True
430,1,1,True
431,0,0,True
432,1,1,True
433,0,0,True
434,1,1,True
435,1,1,True
436,0,0,True
437,0,0,True
438,0,1,False
439,0,0,True
440,1,1,True
441,0,0,True
442,1,0,False
443,0,1,False
444,0,1,False
445,0,1,False
446,0,0,True
447,1,1,True
448,1,0,False
449,1,0,False
450,1,1,True
451,0,0,True
452,1,1,True
453,0,1,False
454,1,1,True
455,0,1,False
456,0,1,False
457,1,1,True
458,0,0,True
459,0,0,True
460,1,1,True
461,0,1,False
462,1,1,True
463,1,0,False
464,0,1,False
465,0,1,False
466,0,0,True
467,1,0,False
468,1,1,True
469,0,0,True
470,1,1,True
471,0,0,True
472,1,1,True
473,0,0,True
474,1,1,True
475,0,0,True
476,1,1,True
477,1,1,True
478,1,1,True
479,1,1,True
480,0,1,False
481,1,1,True
482,1,1,True
483,0,0,True
484,0,0,True
485,1,1,True
486,1,1,True
487,0,0,True
488,1,1,True
489,1,1,True
490,0,0,True
491,1,1,True
492,1,1,True
493,0,0,True
494,1,1,True
495,0,0,True
496,0,1,False
497,1,1,True
498,1,0,False
499,0,0,True
